KEYTAB_KEY;KEYTAB_KURZTEXT;KEYTAB_LANGTEXT_1;KEYTAB_LANGTEXT_2
01;Landwirtschaft, Jagd und damit verbundene Tätigkeiten;Landwirtschaft, Jagd und damit verbundene Tätigkeiten;
011;Anbau ein- und zweijähriger Pflanzen;Anbau ein- und zweijähriger Pflanzen;
0111;Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten;Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten;
01110;Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten;Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten;
0112;Anbau von Reis;Anbau von Reis;
01120;Anbau von Reis;Anbau von Reis;
0113;Anbau von Gemüse und Melonen sowie Wurzeln und Knollen;Anbau von Gemüse und Melonen sowie Wurzeln und Knollen;
01131;Anbau von Gemüse und Melonen;Anbau von Gemüse und Melonen;
01132;Anbau von Kartoffeln sowie sonstigen Wurzeln und Knollen;Anbau von Kartoffeln sowie sonstigen Wurzeln und Knollen;
0114;Anbau von Zuckerrohr;Anbau von Zuckerrohr;
01140;Anbau von Zuckerrohr;Anbau von Zuckerrohr;
0115;Anbau von Tabak;Anbau von Tabak;
01150;Anbau von Tabak;Anbau von Tabak;
0116;Anbau von Faserpflanzen;Anbau von Faserpflanzen;
01160;Anbau von Faserpflanzen;Anbau von Faserpflanzen;
0119;Anbau von sonstigen ein- und zweijährigen Pflanzen;Anbau von sonstigen ein- und zweijährigen Pflanzen;
01191;Anbau von Zierpflanzen zum Schnitt;Anbau von Zierpflanzen zum Schnitt;
011911;Herstellung von Blumengestecken;Herstellung von Blumengestecken;
01192;Erzeugung von Blumensamen;Erzeugung von Blumensamen;
01199;Anbau von sonstigen ein- und zweijährigen Pflanzen a. n. g.;Anbau von sonstigen ein- und zweijährigen Pflanzen a. n. g.;
012;Anbau mehrjähriger Pflanzen;Anbau mehrjähriger Pflanzen;
0121;Anbau von Wein- und Tafeltrauben;Anbau von Wein- und Tafeltrauben;
