"Klassifikation der Wirtschaftszweige, Ausgabe 2025";""
"Dateiinhalt: Stichwörter";""
"Sprache: Klassifikation der Wirtschaftszweige, Ausgabe 2025";""
"Letzte Aktualisierung der Stichwörter: 07.08.2026 16:08:45 (GMT+0200)";""
"Weitere Informationen: klassifikationsserver.de";""
"Copyright:";""
"Eigentümer:";""
"Stichwort";"Schlüssel WZ 2025"
"3D-Druck, Binder Jetting (nur wenn Werkstoff aus keramischem Pulver besteht)";"23.44.0"
"3D-Druck, Laser Sintern";"25.40.5"
"3D-Drucker für die additive Fertigung, Herstellung";"28.97.0"
"3D-Druck von Büro- oder Schulartikeln aus Kunststoffen";"22.26.2"
"3D-Druck von Haushalts- oder Hauswirtschaftsartikeln aus Kunststoffen";"22.26.1"
"3D-Druck von sonstigen Kunststoffwaren";"22.26.9"
"Aalräuchereien";"10.20.0"
"Abaca, Anbau";"01.16.0"
"Abbauhämmer (handgeführte Druckluftwerkzeuge), Großhandel";"46.62.0"
"Abbauhämmer (handgeführte Druckluftwerkzeuge), Handelsvermittlung";"46.14.9"
"Abbauhämmer (handgeführte Druckluftwerkzeuge), Herstellung";"28.24.0"
"Abbaumaschinen (Bergwerksmaschinen), Herstellung";"28.92.1"
"Abbau von Bohranlagen (Dienstleistungen im Rahmen der Erdöl- und Erdgasgewinnung)";"09.10.0"
"Abbau von Gerüsten";"43.99.1"
"Abbau von Grauwacke";"08.11.0"
"Abbau von kieselsauren Sanden";"08.12.1"
"Abbau von Messeständen";"43.32.1"
"Abbau von Natursand";"08.12.2"
"Abbau von Quarzsand";"08.12.1"
"Abbeizmittel (Zubereitungen zum Abbeizen von Metallen), Großhandel";"46.85.0"
"Abbeizmittel (Zubereitungen zum Abbeizen von Metallen), Handelsvermittlung";"46.13.2"
"Abbeizmittel (Zubereitungen zum Abbeizen von Metallen), Herstellung";"20.59.9"
"Abbeizmittel (Zubereitungen zum Entfernen von Anstrichfarben und Lacken), Einzelhandel";"47.52.0"
"Abbeizmittel (Zubereitungen zum Entfernen von Anstrichfarben und Lacken), Großhandel";"46.83.5"
"Abbeizmittel (Zubereitungen zum Entfernen von Anstrichfarben und Lacken), Handelsvermittlung";"46.13.2"
"Abbeizmittel (Zubereitungen zum Entfernen von Anstrichfarben und Lacken), Herstellung";"20.30.0"
"Abbrucharbeiten";"43.11.0"
"Abbruchgewerbe";"43.11.0"
"Abbruchmaterial, Recycling (nicht Herstellung von Baustoffen)";"38.21.2"
"Abdichtung von Deponien im Rahmen des Tiefbaus";"43.50.0"
"Abdichtung von Deponien u.a. Umweltbauten";"43.50.0"
"Abdichtung von Kesseln und Rohren (auch auf Schiffen)";"43.23.0"
"Abendgymnasien";"85.31.2"
"Abendhauptschulen";"85.31.1"
"Abendkurse (allgemeine und politische Erwachsenenbildung)";"85.59.1"
"Abendkurse (berufliche Erwachsenenbildung)";"85.59.2"
"Abendmode, Einzelhandel";"47.71.0"
"Abendrealschulen";"85.31.1"
"Abfallberatung";"94.99.3"
"Abfallbeseitigung, biologische von nicht gefährlichen Abfällen zur energetischen Verwertung";"38.22.0"
"Abfallbeseitigung, biologische von nicht gefährlichen Abfällen zur Rückgewinnung von Biowerkstoffen";"38.21.2"
"Abfallbeseitigung, thermische (ohne energetische Verwertung) von nicht gefährlichen Abfällen";"38.31.0"
"Abfallbeseitigung, thermische (zur thermischen Verwertung) von nicht gefährlichen Abfällen";"38.22.0"
"Abfallbeseitigung, thermische von gefährlichen Abfällen ohne energetische Verwertung";"38.31.0"
"Abfallbeseitigung, thermische von gefährlichen Abfällen zur energetischen Verwertung";"38.22.0"
"Abfallbeseitigung, thermische von Klärschlamm";"38.23.0"
"Abfalldeponien für gefährliche Abfälle (hoch radioaktiv)";"38.32.1"
"Abfalldeponien für gefährliche Abfälle (nicht hoch radioaktive)";"38.32.2"
"Abfalldeponien für nicht gefährliche Abfälle";"38.32.2"
"Abfälle, schwach radioaktive aus Krankenhäusern usw., Behandlung";"38.32.2"
"Abfallgerste (Nebenprodukt des Malzes), Gewinnung";"11.06.0"
"Abfallgerste (Nebenprodukt des Malzes), Großhandel";"46.21.0"
"Abfallgerste (Nebenprodukt des Malzes), Handelsvermittlung";"46.11.0"
"Abfallhefe (Nebenprodukt des Bieres), Gewinnung";"11.05.0"
"Abfallhefe (Nebenprodukt des Bieres), Großhandel";"46.21.0"
"Abfallhefe (Nebenprodukt des Bieres), Handelsvermittlung";"46.11.0"
"Abfallkörbe an öffentlichen Plätzen, Entleerung";"38.11.0"
"Abfallmulden (Transportcontainer) aus Stahl, Herstellung";"29.20.0"
"Abfalltonnen aus Kunststoff, Herstellung";"22.22.0"
"Abfalltonnen aus Kunststoff (nicht für den Haushalt), Großhandel";"46.64.6"
"Abfalltonnen aus Kunststoff (nicht für den Haushalt), Handelsvermittlung";"46.15.6"
"Abfalltonnen aus Kunststoff für den Haushalt, Einzelhandel";"47.55.9"
"Abfalltonnen aus Kunststoff für den Haushalt, Großhandel";"46.49.9"
"Abfalltonnen aus Kunststoff für den Haushalt, Handelsvermittlung";"46.15.6"
"Abfalltonnen aus Stahl mit einem Fassungsvermögen von 300 l oder weniger, Einzelhandel";"47.52.0"
"Abfalltonnen aus Stahl mit einem Fassungsvermögen von 300 l oder weniger, Großhandel";"46.64.6"
"Abfalltonnen aus Stahl mit einem Fassungsvermögen von 300 l oder weniger, Herstellung";"25.91.0"
"Abfalltonnen aus Stahl und Leichtmetall, Handelsvermittlung";"46.15.6"
"Abfalltonnen aus Stahl und Leichtmetall mit einem Fassungsvermögen von mehr als 300 l, Großhandel";"46.64.6"
"Abfalltonnen aus Stahl und Leichtmetall mit einem Fassungsvermögen von mehr als 300 l, Herstellung";"25.22.0"
"Abfalltransport und -ablagerung (gefährliche Abfälle)";"38.12.0"
"Abfalltransport und -ablagerung (nicht gefährliche Abfälle)";"38.11.0"
"Abfallverbrennungsanlagen für gefährliche Abfälle ohne energetische Verwertung";"38.31.0"
"Abfallverbrennungsanlagen für gefährliche Abfälle zur energetischen Verwertung";"38.22.0"
"Abfallverbrennungsanlagen für Klärschlamm";"38.23.0"
"Abfallverbrennungsanlagen für ungefährliche Abfälle, ohne energetische Verwertung";"38.31.0"
"Abfallverbrennungsanlagen zur energetischen Verwertung ungefährlicher Abfälle";"38.22.0"
"Abfallverbrennungsöfen, Großhandel";"46.64.5"
"Abfallverbrennungsöfen, Handelsvermittlung";"46.14.9"
"Abfallverbrennungsöfen, Herstellung";"28.21.9"
"Abfallzerkleinerer für den Haushalt, elektrische, Einzelhandel";"47.54.0"
"Abfallzerkleinerer für den Haushalt, elektrische, Großhandel";"46.43.2"
"Abfallzerkleinerer für den Haushalt, elektrische, Handelsvermittlung";"46.15.4"
"Abfallzerkleinerer für den Haushalt, elektrische, Herstellung";"27.51.0"
"Abfallzerkleinerung von gefährlichen Abfällen vor der Verbrennung ohne energetische Verwertung";"38.31.0"
"Abfallzerkleinerung von gefährlichen Abfällen zur Deponierung";"38.32.2"
"Abfallzerkleinerung von gefährlichen Abfällen zur energetischen Verwertung";"38.22.0"
"Abfallzerkleinerung von nicht gefährlichen Abfällen vor der Verbrennung zur energetischen Verwertung";"38.31.0"
"Abfallzerkleinerung von nicht gefährlichen Abfällen zur Deponierung";"38.32.2"
"Abfallzerkleinerung von nicht gefährlichen Abfällen zur energetischen Verwertung";"38.22.0"
"Abfallzerkleinerung von nicht gefährlichen Abfällen zur Rückgewinnung sortierter Werkstoffe";"38.21.2"
"Abfertigungseinrichtungen für den Landverkehr";"52.21.9"
"Abfertigungseinrichtungen für den Luftverkehr (Flughafenbetriebe)";"52.23.1"
"Abfertigungseinrichtungen für die Binnenschifffahrt";"52.22.1"
"Abfertigungseinrichtungen für die Seeschifffahrt";"52.22.1"
"Abfertigungsspeditionen (nicht Güterbeförderung)";"52.26.1"
"Abführen von LKW-Maut an BMF";"82.91.1"
"Abfüllen und Verpacken";"82.92.0"
"Abfüllen von Flüssigkeiten einschließlich Getränke und Lebensmittel";"82.92.0"
"Abfüllen von Kohlensäure";"82.92.0"
"Abfüllmaschinen, Großhandel";"46.64.5"
"Abfüllmaschinen, Handelsvermittlung";"46.14.9"
"Abfüllmaschinen, Herstellung";"28.29.0"
"Abfüllmaschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung, Herstellung";"28.93.0"
"Abfüllstelle für Propangas, Einzelhandel";"47.63.2"
"Abfüllstelle für Propangas, Großhandel";"46.81.0"
"Abfüll- und Verpackungsgewerbe (nicht Verpackungstätigkeiten im Verkehrsgewerbe)";"82.92.0"
"Abfüllung von natürlichen Mineralwässern, Tafelwässern, kohlensäurehaltigen Wässern";"11.07.0"
"Abfüllwaagen (nicht Laborwaagen), Großhandel";"46.64.5"
"Abfüllwaagen (nicht Laborwaagen), Handelsvermittlung";"46.14.9"
"Abfüllwaagen (nicht Laborwaagen), Herstellung";"28.29.0"
